sid,season,name,detector,distance_threshold_km,lat_gate_degN,window_steps,zonal_threshold_km_6h,zonal_pre_max_km_6h,recurv_i,recurv_original_time_index,recurv_time,recurv_lat,recurv_lon,box_hit,min_dist_km,closest_proxy_idx,closest_proxy,nl_relevant
1950224N17305,1950,ABLE,zonal,600.0,25.0,4,30.0,30.0,64,64,1950-08-20 00:00:00.000040448,32.79999923706055,-75.19999694824219,True,26.364536080526893,1,Corner Brook region (west coast),True
1950234N11334,1950,CHARLIE,zonal,600.0,25.0,4,30.0,30.0,107,107,1950-09-03 21:00:00.000040448,36.4349365234375,-60.437198638916016,False,483.5204553515146,0,St. John's (Avalon Peninsula),True
1950243N15304,1950,DOG,zonal,600.0,25.0,4,30.0,30.0,95,95,1950-09-11 15:00:00.000040448,37.1793212890625,-71.73108673095703,False,551.8907706095681,0,St. John's (Avalon Peninsula),True
1950270N25309,1950,GEORGE,zonal,600.0,25.0,4,30.0,30.0,54,54,1950-10-04 00:00:00.000040448,34.20000076293945,-68.0,True,120.53223333215256,0,St. John's (Avalon Peninsula),True
1952231N15341,1952,ABLE,zonal,600.0,25.0,4,30.0,30.0,108,108,1952-08-31 18:00:00.000040448,35.400001525878906,-80.5999984741211,False,410.07493252311394,1,Corner Brook region (west coast),True
1952244N15306,1952,BAKER,zonal,600.0,25.0,4,30.0,30.0,49,49,1952-09-06 09:00:00.000040448,33.96261215209961,-70.08002471923828,True,194.853961307817,0,St. John's (Avalon Peninsula),True
1953223N23286,1953,BARBARA,zonal,600.0,25.0,4,30.0,30.0,27,27,1953-08-14 12:00:00.000040448,36.599998474121094,-75.69999694824219,True,98.6878763656687,1,Corner Brook region (west coast),True
1953240N14340,1953,CAROL,zonal,600.0,25.0,4,30.0,30.0,79,79,1953-09-07 03:00:00.000040448,37.914100646972656,-70.40648651123047,True,310.00446323173236,4,Labrador coast proxy,True
1953277N23279,1953,NOT_NAMED,zonal,600.0,25.0,4,30.0,30.0,10,10,1953-10-05 00:00:00.000040448,25.30000114440918,-79.69999694824219,True,92.99865867222549,0,St. John's (Avalon Peninsula),True
1953280N21274,1953,HAZEL,zonal,600.0,25.0,4,30.0,30.0,16,16,1953-10-09 06:00:00.000040448,25.200000762939453,-84.4000015258789,True,331.4535280782381,0,St. John's (Avalon Peninsula),True
1954169N26279,1954,NOT_NAMED,zonal,600.0,25.0,4,30.0,30.0,19,19,1954-06-20 09:00:00.000040448,27.80750274658203,-79.82992553710938,False,350.26370304139795,1,Corner Brook region (west coast),True
1954244N21291,1954,DOLLY,zonal,600.0,25.0,4,30.0,30.0,10,10,1954-09-01 18:00:00.000040448,31.700002670288086,-69.80000305175781,True,205.22365813321758,0,St. John's (Avalon Peninsula),True
1954248N20295,1954,EDNA,zonal,600.0,25.0,4,30.0,30.0,46,46,1954-09-10 18:00:00.000040448,32.70000076293945,-75.5,True,316.3291005377174,4,Labrador coast proxy,True
