season,sid,name,recurv_time,ncep_time,month,hour
1979,1979213N17306,NOT_NAMED,1979-08-04 12:00:00.000040448+00:00,1979-08-04 12:00:00+00:00,8,12
1979,1979238N12324,DAVID,1979-09-05 21:00:00.000040448+00:00,1979-09-06 00:00:00+00:00,9,0
1980,1980245N16322,GEORGES,1980-09-06 15:00:00.000040448+00:00,1980-09-06 18:00:00+00:00,9,18
1981,1981244N30287,EMILY,1981-09-03 15:00:00.000040448+00:00,1981-09-03 18:00:00+00:00,9,18
1982,1982257N20291,DEBBY,1982-09-14 21:00:00.000040448+00:00,1982-09-15 00:00:00+00:00,9,0
1984,1984253N29283,DIANA,1984-09-14 03:00:00.000040448+00:00,1984-09-14 06:00:00+00:00,9,6
1984,1984281N24291,JOSEPHINE,1984-10-14 15:00:00.000040448+00:00,1984-10-14 18:00:00+00:00,10,18
1985,1985197N29296,ANA,1985-07-17 21:00:00.000040448+00:00,1985-07-18 00:00:00+00:00,7,0
1985,1985260N13336,GLORIA,1985-09-27 05:30:00.000026624+00:00,1985-09-27 06:00:00+00:00,9,6
1988,1988235N15317,CHRIS,1988-08-29 03:00:00.000040448+00:00,1988-08-29 06:00:00+00:00,8,6
1989,1989212N15318,DEAN,1989-08-07 15:00:00.000040448+00:00,1989-08-07 18:00:00+00:00,8,18
1989,1989243N12339,GABRIELLE,1989-09-11 18:00:00.000040448+00:00,1989-09-11 18:00:00+00:00,9,18
1989,1989254N13340,HUGO,1989-09-22 15:00:00.000040448+00:00,1989-09-22 18:00:00+00:00,9,18
1990,1990206N34285,BERTHA,1990-07-29 00:00:00.000040448+00:00,1990-07-29 00:00:00+00:00,7,0
1990,1990236N13314,GUSTAV,1990-08-31 12:00:00.000040448+00:00,1990-08-31 12:00:00+00:00,8,12
1990,1990279N36316,LILI,1990-10-13 18:00:00.000040448+00:00,1990-10-13 18:00:00+00:00,10,18
1991,1991228N26286,BOB,1991-08-18 15:00:00.000040448+00:00,1991-08-18 18:00:00+00:00,8,18
1991,1991302N44301,NOT_NAMED,1991-10-31 15:00:00.000040448+00:00,1991-10-31 18:00:00+00:00,10,18
1992,1992297N26299,FRANCES,1992-10-24 00:00:00.000040448+00:00,1992-10-24 00:00:00+00:00,10,0
1993,1993251N25293,FLOYD,1993-09-08 15:00:00.000040448+00:00,1993-09-08 18:00:00+00:00,9,18
1994,1994229N11321,CHRIS,1994-08-22 15:00:00.000040448+00:00,1994-08-22 18:00:00+00:00,8,18
1995,1995154N17276,ALLISON,1995-06-05 03:00:00.000040448+00:00,1995-06-05 06:00:00+00:00,6,6
1995,1995186N32288,BARRY,1995-07-08 00:00:00.000040448+00:00,1995-07-08 00:00:00+00:00,7,0
1995,1995193N17305,CHANTAL,1995-07-18 03:00:00.000040448+00:00,1995-07-18 06:00:00+00:00,7,6
1995,1995220N14329,FELIX,1995-08-17 18:00:00.000040448+00:00,1995-08-17 18:00:00+00:00,8,18
1995,1995235N13311,IRIS,1995-09-03 03:00:00.000040448+00:00,1995-09-03 06:00:00+00:00,9,6
1995,1995241N11333,LUIS,1995-09-09 12:00:00.000040448+00:00,1995-09-09 12:00:00+00:00,9,12
1996,1996187N10326,BERTHA,1996-07-13 03:00:00.000040448+00:00,1996-07-13 06:00:00+00:00,7,6
1996,1996233N12340,EDOUARD,1996-09-02 06:00:00.000040448+00:00,1996-09-02 06:00:00+00:00,9,6
1996,1996248N15319,HORTENSE,1996-09-13 12:00:00.000040448+00:00,1996-09-13 12:00:00+00:00,9,12
1996,1996279N23264,JOSEPHINE,1996-10-06 06:00:00.000040448+00:00,1996-10-06 06:00:00+00:00,10,6
1997,1997198N27267,DANNY,1997-07-23 00:00:00.000040448+00:00,1997-07-23 00:00:00+00:00,7,0
1998,1998232N15312,BONNIE,1998-08-27 18:00:00.000040448+00:00,1998-08-27 18:00:00+00:00,8,18
1998,1998236N13326,DANIELLE,1998-09-01 03:00:00.000040448+00:00,1998-09-01 06:00:00+00:00,9,6
1998,1998244N22267,EARL,1998-09-01 12:00:00.000040448+00:00,1998-09-01 12:00:00+00:00,9,12
1999,1999251N15314,FLOYD,1999-09-16 06:00:00.000040448+00:00,1999-09-16 06:00:00+00:00,9,6
1999,1999255N13336,GERT,1999-09-21 15:00:00.000040448+00:00,1999-09-21 18:00:00+00:00,9,18
1999,1999286N16278,IRENE,1999-10-17 12:00:00.000040448+00:00,1999-10-17 12:00:00+00:00,10,12
2000,2000255N31289,FLORENCE,2000-09-15 03:00:00.000040448+00:00,2000-09-15 06:00:00+00:00,9,6
2000,2000260N15308,HELENE,2000-09-22 09:00:00.000040448+00:00,2000-09-22 12:00:00+00:00,9,12
2000,2000290N30289,MICHAEL,2000-10-18 09:00:00.000040448+00:00,2000-10-18 12:00:00+00:00,10,12
2000,2000299N22291,NOT_NAMED,2000-10-27 12:00:00.000040448+00:00,2000-10-27 12:00:00+00:00,10,12
2001,2001235N18296,DEAN,2001-08-24 15:00:00.000040448+00:00,2001-08-24 18:00:00+00:00,8,18
2001,2001245N13326,ERIN,2001-09-11 18:00:00.000040448+00:00,2001-09-11 18:00:00+00:00,9,18
2001,2001255N26276,GABRIELLE,2001-09-14 03:00:00.000040448+00:00,2001-09-14 06:00:00+00:00,9,6
2001,2001265N25296,HUMBERTO,2001-09-24 09:00:00.000040448+00:00,2001-09-24 12:00:00+00:00,9,12
2002,2002252N29289,GUSTAV,2002-09-10 18:00:00.000040448+00:00,2002-09-10 18:00:00+00:00,9,18
