season,relevant_events,recurving_storms,eligible_storms,relevant_fraction_of_eligible,relevant_fraction_of_recurvers
1950,4,8,15,0.26666666666666666,0.5
1951,2,5,8,0.25,0.4
1952,2,3,7,0.2857142857142857,0.6666666666666666
1953,2,7,13,0.15384615384615385,0.2857142857142857
1954,2,5,11,0.18181818181818182,0.4
1955,2,6,9,0.2222222222222222,0.3333333333333333
1956,2,4,9,0.2222222222222222,0.5
1957,1,4,8,0.125,0.25
1958,3,7,11,0.2727272727272727,0.42857142857142855
1959,3,6,12,0.25,0.5
1960,2,4,7,0.2857142857142857,0.5
1961,2,6,9,0.2222222222222222,0.3333333333333333
1962,3,7,7,0.42857142857142855,0.42857142857142855
1963,3,3,8,0.375,1.0
1964,4,7,12,0.3333333333333333,0.5714285714285714
1965,1,4,10,0.1,0.25
1966,1,5,11,0.09090909090909091,0.2
1967,3,6,11,0.2727272727272727,0.5
1968,1,4,9,0.1111111111111111,0.25
1969,4,7,17,0.23529411764705882,0.5714285714285714
1970,1,5,13,0.07692307692307693,0.2
1971,1,4,15,0.06666666666666667,0.25
1972,1,6,11,0.09090909090909091,0.16666666666666666
1973,1,3,11,0.09090909090909091,0.3333333333333333
1974,2,5,10,0.2,0.4
1975,3,9,13,0.23076923076923078,0.3333333333333333
1976,0,6,14,0.0,0.0
1977,1,2,6,0.16666666666666666,0.5
1978,1,6,11,0.09090909090909091,0.16666666666666666
1979,2,6,14,0.14285714285714285,0.3333333333333333
1980,1,9,15,0.06666666666666667,0.1111111111111111
1981,1,5,11,0.09090909090909091,0.2
1982,1,3,5,0.2,0.3333333333333333
1983,0,1,4,0.0,0.0
1984,2,5,13,0.15384615384615385,0.4
1985,2,6,12,0.16666666666666666,0.3333333333333333
1986,0,4,6,0.0,0.0
1987,0,4,7,0.0,0.0
1988,2,4,9,0.2222222222222222,0.5
1989,3,5,8,0.375,0.6
1990,3,8,10,0.3,0.375
1991,2,6,6,0.3333333333333333,0.3333333333333333
1992,1,3,6,0.16666666666666666,0.3333333333333333
1993,1,2,5,0.2,0.5
1994,1,3,5,0.2,0.3333333333333333
1995,5,11,16,0.3125,0.45454545454545453
1996,2,5,8,0.25,0.4
1997,0,0,6,0.0,
1998,2,6,13,0.15384615384615385,0.3333333333333333
1999,2,4,9,0.2222222222222222,0.5
2000,1,4,9,0.1111111111111111,0.25
2001,5,8,12,0.4166666666666667,0.625
2002,1,5,11,0.09090909090909091,0.2
2003,3,8,14,0.21428571428571427,0.375
2004,3,10,14,0.21428571428571427,0.3
2005,4,11,18,0.2222222222222222,0.36363636363636365
2006,3,6,9,0.3333333333333333,0.5
2007,0,3,7,0.0,0.0
2008,3,7,11,0.2727272727272727,0.42857142857142855
2009,1,3,6,0.16666666666666666,0.3333333333333333
2010,2,8,14,0.14285714285714285,0.25
2011,6,10,15,0.4,0.6
2012,2,9,14,0.14285714285714285,0.2222222222222222
2013,0,3,8,0.0,0.0
2014,4,6,6,0.6666666666666666,0.6666666666666666
2015,1,3,6,0.16666666666666666,0.3333333333333333
2016,0,9,13,0.0,0.0
2017,2,6,12,0.16666666666666666,0.3333333333333333
2018,2,9,12,0.16666666666666666,0.2222222222222222
2019,1,6,14,0.07142857142857142,0.16666666666666666
2020,2,10,20,0.1,0.2
2021,4,9,15,0.26666666666666666,0.4444444444444444
2022,0,2,8,0.0,0.0
2023,3,8,14,0.21428571428571427,0.375
