latitude_gate_deg_n,window_hours,post_east_min_kmh,events,irr_per_decade,ci_low,ci_high,p_value,dispersion,satellite_events,satellite_irr_per_decade,satellite_ci_low,satellite_ci_high,satellite_p_value,satellite_hac_ci_low,satellite_hac_ci_high,satellite_hac_p_value,satellite_eligible_or,satellite_eligible_ci_low,satellite_eligible_ci_high,satellite_eligible_p_value,satellite_recurver_or,satellite_recurver_ci_low,satellite_recurver_ci_high,satellite_recurver_p_value,jaccard_with_baseline
25.0,18,2.5,143,0.9970156456668811,0.9233716902109897,1.0765331103852775,0.9391469452452523,1.056074932184282,83,1.163183598729816,0.9837256846753842,1.3753794431020836,0.07704776716132325,1.0194819863471989,1.3271407464508784,0.02465363389630046,1.079590103472077,0.9025627076063502,1.2913394068827242,0.40198356375984134,1.0541237491141267,0.8652542661158004,1.2842200517942426,0.6008005326804109,0.9006622516556292
25.0,18,5.0,138,0.9974620160080759,0.9225134641863741,1.0784996772447004,0.9491578169026175,1.0487010298048545,80,1.153175444392353,0.972440794643959,1.3675008420809691,0.10128036026687112,1.0089523599207566,1.3180142674466262,0.03655084870907235,1.0684622147292229,0.8911188667256743,1.281099017125304,0.47453734740909925,1.0560079084981004,0.8623700773898793,1.2931254597628736,0.5979913333257845,0.8926174496644296
25.0,18,7.5,117,0.9939300112027345,0.9130861985478802,1.0819316607134817,0.8881354731804874,1.003883725729439,66,1.2217571791657413,1.0108136773004894,1.4767218117086183,0.03833774738651955,1.073687761968751,1.3902464549898381,0.002376241541703308,1.1358948426397797,0.9312115944404163,1.3855681149577945,0.20876827815260024,1.1174094503086236,0.8969010020655073,1.39213121265732,0.32226099022576504,0.7635135135135135
25.0,18,10.0,92,0.9741183049472344,0.8851667191655548,1.0720087543822319,0.5914496650842169,1.0054458885761604,50,1.2374814060746506,0.9947632318972667,1.5394218254928869,0.05576540225903525,1.057130032659167,1.4486015750857257,0.008018374635271937,1.1460469179071429,0.9153745766603157,1.4348481720307342,0.23449580616328913,1.0723832234099502,0.8328548398127731,1.3807997779176475,0.5879133650308913,0.6275862068965518
25.0,24,2.5,146,1.004664719293471,0.9311921542417759,1.0839343884022454,0.9043958271077386,0.9530241930612375,88,1.1135367873801538,0.9471672660714244,1.309129043270178,0.19272604732884568,0.9788769868855258,1.2667211441900217,0.10197619552848286,1.0219420408335533,0.858130354506679,1.2170243475694689,0.8076139524934922,1.0157553104817565,0.8357723185722544,1.2344975154650228,0.8751651696254393,0.9863013698630136
25.0,24,5.0,144,0.9989351172773046,0.9253970621542915,1.0783169834220276,0.9782127892889106,0.9127763118450621,86,1.109362778286254,0.9419146913372217,1.3065788071527058,0.21379448364461662,0.9795820272961017,1.2563376415183989,0.10204657035706895,1.0173870386533406,0.8530380466665786,1.2134000241426366,0.8479312298898983,0.9911816759672495,0.81236450821084,1.209359966915571,0.9304636098333195,1.0
25.0,24,7.5,137,0.9883085735601165,0.9137747610404835,1.0689218812087091,0.7687831286537444,0.8116984799723617,80,1.1047739566404862,0.9324509545263039,1.3089433705294624,0.24946573085624224,0.988210344338932,1.2350867426788081,0.07985546334415108,1.012316100898289,0.8445541210584865,1.213402270601137,0.8946552047767503,1.004379715604648,0.8174338954104459,1.2340797448967422,0.966826264411729,0.9513888888888888
25.0,24,10.0,123,1.0004455832331502,0.9210031135100457,1.086740479297849,0.9915798740800909,0.9068316840546881,72,1.1542422048785044,0.9643835451179706,1.3814784317579967,0.11770848324530812,1.0370732259820725,1.2846489853801528,0.008625419674209663,1.0629307256158225,0.8788144099621508,1.2856203933966426,0.5294328844933897,1.046449818602563,0.8428484796733448,1.299233787878147,0.6808629503204403,0.8541666666666666
25.0,30,2.5,143,1.0074617382874498,0.9330415958089742,1.0878176907355919,0.849409186249733,0.8915922036179766,87,1.111088459157217,0.9442447767071945,1.3074126482090949,0.20446804791715323,0.9771167002050827,1.2634289883831187,0.108081136231736,1.0233331246859831,0.8567841227003286,1.2222573415332225,0.7991110839565791,1.0140903027469275,0.8341511001800651,1.2328451546768477,0.8883458649699933,0.9391891891891891
25.0,30,5.0,141,1.0019449637950284,0.927434276172611,1.0824418897014965,0.9606936366050739,0.8761640550040501,85,1.1083809351804226,0.9401924627657311,1.3066561859659762,0.2203802999862604,0.9761604320461457,1.2585106475749401,0.11235197352813303,1.020249344708767,0.8528908153542666,1.2204478071982807,0.8264160623178103,1.0086396865883764,0.8285107402065683,1.227930994723673,0.9316990082020672,0.9387755102040817
25.0,30,7.5,133,0.9832459907854109,0.9080160289874657,1.0647088239991076,0.6773771396817089,0.7273764598963959,78,1.0832694552936,0.9126061737854547,1.2858478788331817,0.36048112741709715,0.9682763600359594,1.2119192011756985,0.1624276971818266,0.9930476127760866,0.8254555353880538,1.1946658771591976,0.9410281601935422,0.9672098595184082,0.7860862767804697,1.190066459601704,0.7526479062785661,0.8972602739726028
25.0,30,10.0,126,0.972871561851105,0.8964306388318036,1.055830797006254,0.5100561859841003,0.7306011074676722,73,1.0611561711567208,0.8890584238282833,1.266567403675467,0.5108660235392459,0.9478266958756577,1.188036193202681,0.3029568220231501,0.9699231536201459,0.8024968668190561,1.17227987151826,0.7520952833114998,0.9716214811546,0.7851300392458078,1.2024101173710116,0.7911887701983049,0.8620689655172413
30.0,18,2.5,113,1.011020387733705,0.9273960637038721,1.102185209122905,0.8034998598697976,1.127148862248058,67,1.1668584701064768,0.9682332387314952,1.4062300639906118,0.10503689599043557,0.9967794598295441,1.3659578112615436,0.054874588810468174,1.0342345255108898,0.8450414080604717,1.2657853728301454,0.7439956363455893,1.0115585098575057,0.8086689532668214,1.265351680352584,0.919851504740115,0.7133333333333334
30.0,18,5.0,110,1.0110203877333916,0.9263122538177235,1.1034747950270718,0.8060730656324049,1.1221479959859235,65,1.1659477815033157,0.9647471080490329,1.4091094110057811,0.11214007153012319,0.9940752070026921,1.3675366004665095,0.05916482239264013,1.0330930778838008,0.8420264141980106,1.267515234172266,0.7550110918311859,1.0430262494726108,0.8313619725544371,1.30858012875693,0.7158366551586648,0.7162162162162162
30.0,18,7.5,94,1.0126725283644653,0.9212064332702874,1.1132202432233658,0.7942979701218594,1.0736826455697295,55,1.2199310999070625,0.9912685523501691,1.5013407668305936,0.060492321323060164,1.0304777569046333,1.4442154413801531,0.020962396517797653,1.0864676000515214,0.8710507457530198,1.355158527464725,0.4620064370328385,1.1173803968671563,0.8751485597676344,1.426659436695537,0.373324692444004,0.6190476190476191
30.0,18,10.0,80,0.9753629063583684,0.8801841234269019,1.0808338548483831,0.6339457441817131,1.1286638495043801,44,1.2036653172380978,0.9549462994046028,1.5171640508217117,0.1164980013608261,0.9689058151715485,1.4953055015624743,0.09400556191678687,1.0679050999113617,0.837750279602851,1.3612902677362644,0.5957671257085557,1.007814104027829,0.7666628784441595,1.3248186351980709,0.9555149122707726,0.5448275862068965
30.0,24,2.5,114,0.9946310011511634,0.9127183267335327,1.0838949974758074,0.9022875440594089,1.0336613224138125,67,1.1285572067083025,0.9372540720289477,1.3589072662614252,0.20188502554316146,0.9708325567239858,1.3119063220449363,0.11534861867380594,0.9894153697691994,0.8089780248867894,1.2100981038051282,0.9174971579940525,0.9830994155611927,0.783986915355824,1.2327813665590395,0.882645439986423,0.7793103448275862
30.0,24,5.0,113,0.9898676649944378,0.9079946193579153,1.079123128388612,0.8171546901178138,0.9896434165417892,66,1.1203937734781941,0.9293197170132891,1.3507538736862466,0.23340831798046624,0.9653698423005896,1.300312225061042,0.13461411382568786,0.9810676372632071,0.8013065638651364,1.2011554032985605,0.8531530796833552,0.9850737824565252,0.7850705200594029,1.2360295439571236,0.8966594037448643,0.7847222222222222
