sid,classification
1960210N28275,velocity_only
1965247N36306,velocity_only
1977287N27297,velocity_only
1979213N17306,velocity_only
1979238N12324,velocity_only
1984281N24291,velocity_only
1989212N15318,velocity_only
1990206N34285,velocity_only
1990236N13314,velocity_only
1991302N44301,velocity_only
1996248N15319,velocity_only
2001255N26276,velocity_only
2003268N28298,velocity_only
2008269N21290,velocity_only
2011263N12323,velocity_only
2012287N15297,velocity_only
1997198N27267,heading_only
2001157N28265,heading_only
2018186N31292,heading_only
