dataset_index,source_points,resampled_points,source_min_dt_h,source_median_dt_h,source_max_dt_h,eligible
5362,100,50,1.0,3.0,3.0,True
5367,116,58,1.0,3.0,3.0,True
5369,121,61,3.0,3.0,3.0,True
5372,147,74,3.0,3.0,3.0,True
5373,73,35,1.0,3.0,3.0,True
5377,75,38,3.0,3.0,3.0,True
5388,83,42,3.0,3.0,3.0,True
5390,29,15,3.0,3.0,3.0,True
5392,30,15,1.0,3.0,3.0,False
5394,53,27,3.0,3.0,3.0,True
5396,59,29,1.0,3.0,3.0,True
5399,61,31,3.0,3.0,3.0,True
5401,40,20,1.0,3.0,3.0,True
5404,27,14,3.0,3.0,3.0,True
5406,19,10,3.0,3.0,3.0,True
5409,19,10,3.0,3.0,3.0,True
5419,81,41,3.0,3.0,3.0,True
5446,71,36,3.0,3.0,3.0,True
5467,29,15,3.0,3.0,3.0,True
5475,97,48,1.0,3.0,3.0,False
5480,75,38,3.0,3.0,3.0,False
5483,109,55,3.0,3.0,3.0,True
5484,69,35,3.0,3.0,3.0,True
5490,20,10,1.0,3.0,3.0,False
5492,104,52,1.0,3.0,3.0,True
5497,45,23,3.0,3.0,3.0,False
5498,39,20,3.0,3.0,3.0,True
5511,71,36,3.0,3.0,3.0,True
5526,25,13,3.0,3.0,3.0,True
5569,129,65,3.0,3.0,3.0,True
5573,9,5,3.0,3.0,3.0,False
5575,79,40,3.0,3.0,3.0,True
5580,53,27,3.0,3.0,3.0,True
5584,57,29,3.0,3.0,3.0,True
5586,51,26,3.0,3.0,3.0,False
5587,41,21,3.0,3.0,3.0,False
5591,41,21,3.0,3.0,3.0,False
5598,67,33,1.0,3.0,3.0,True
5608,49,25,3.0,3.0,3.0,True
5644,103,51,1.0,3.0,3.0,True
5651,35,18,3.0,3.0,3.0,True
5661,46,23,1.0,3.0,3.0,True
5669,101,50,1.0,3.0,3.0,True
5670,25,13,3.0,3.0,3.0,True
5671,68,34,1.0,3.0,3.0,True
5675,55,28,3.0,3.0,3.0,True
5676,44,22,1.0,3.0,3.0,True
5680,35,18,3.0,3.0,3.0,True
5685,81,41,3.0,3.0,3.0,True
5687,37,19,3.0,3.0,3.0,True
5689,76,38,1.0,3.0,3.0,True
5699,29,15,3.0,3.0,3.0,True
5704,17,9,3.0,3.0,3.0,False
5725,27,14,3.0,3.0,3.0,True
5728,57,29,3.0,3.0,3.0,True
5729,24,12,1.0,3.0,3.0,True
5736,29,15,3.0,3.0,3.0,True
5740,26,13,1.0,3.0,3.0,True
5754,56,28,1.0,3.0,3.0,True
5758,35,18,3.0,3.0,3.0,True
5763,78,38,0.5,3.0,3.0,True
5764,15,8,3.0,3.0,3.0,False
5767,20,10,1.0,3.0,3.0,False
5770,21,11,3.0,3.0,3.0,True
5776,46,23,1.0,3.0,3.0,False
5777,95,48,3.0,3.0,3.0,True
5782,107,53,0.5,3.0,3.0,True
5797,41,21,3.0,3.0,3.0,False
5805,55,28,3.0,3.0,3.0,False
5853,26,13,1.0,3.0,3.0,True
5856,95,48,3.0,3.0,3.0,True
5858,133,67,3.0,3.0,3.0,True
5863,119,60,3.0,3.0,3.0,True
5866,26,13,1.0,3.0,3.0,True
5871,61,31,3.0,3.0,3.0,True
5874,26,13,1.0,3.0,3.0,False
5875,136,68,1.0,3.0,3.0,True
5876,69,34,1.0,3.0,3.0,False
5881,75,37,1.0,3.0,3.0,False
5882,43,22,3.0,3.0,3.0,True
5890,35,18,3.0,3.0,3.0,True
5891,38,19,1.0,3.0,3.0,False
5954,27,14,3.0,3.0,3.0,True
5959,28,14,1.0,3.0,3.0,True
5973,15,8,3.0,3.0,3.0,False
5981,99,50,3.0,3.0,3.0,True
